,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"The Scorch Trials (Maze Runner, #2)",327,5308,5662,4024,4705,12,6722,6301,2799,6901,6861,2377,69,5660,6805
How to Win Friends and Influence People,2329,247,1705,3542,9375,5675,1078,2660,5796,1507,4702,3129,2327,9344,4364
Under the Tuscan Sun,8537,7770,6351,2063,5573,7375,3831,5383,3212,4722,3316,8789,1072,4337,5372
Big Little Lies,940,613,1442,939,4900,8434,61,2617,9787,4176,8739,678,7044,2360,2583
Ella Enchanted,1175,6756,4311,5632,3593,1452,4069,6628,4233,2289,8173,2230,2125,6765,518
The Sun Also Rises,3255,113,2304,1184,65,899,413,1161,225,58,121,1681,701,301,116
A Tree Grows in Brooklyn,4,42,93,270,225,66,540,899,1094,1957,734,109,116,413,650
"Kiss the Girls (Alex Cross, #2)",2214,3163,2354,1260,3098,4813,2261,1534,1763,3162,7463,2568,5129,6237,4616
The Nightingale,2772,2796,1192,4988,313,3962,459,2350,318,2872,3228,1699,482,8586,396
Never Let Me Go,13,48,55,8079,2945,809,6726,5076,1074,7777,3412,1202,9627,896,1003
P.S. I Love You,3011,2610,2408,44,1913,5305,455,107,152,420,647,4360,2378,3016,692
Rebecca,265,66,1094,559,93,103,1064,417,997,42,1957,540,4,10,8740
Flowers for Algernon,48,87,4,14,28,95,846,55,32,90,265,298,5260,129,65
Like Water for Chocolate,669,1131,5198,2419,2367,198,118,733,925,8295,265,11,7756,860,9891
Snow Flower and the Secret Fan,848,1714,3311,5648,5297,4057,33,57,7458,118,148,925,1216,4759,5108
The Godfather,6259,1176,209,769,1100,8976,7293,514,989,4774,5999,726,5162,9237,6809
An Abundance of Katherines,4166,564,3919,1767,5589,6565,8320,1789,2589,7025,382,7220,4233,9424,3170
Foundation (Foundation #1),4585,5055,729,1800,633,126,360,637,1019,8893,1179,1484,8187,371,70
The Ocean at the End of the Lane,312,4987,7493,283,3521,3435,8841,5956,817,3368,2570,8109,1519,5345,7422
A Light in the Attic,157,545,364,358,1383,999,6298,4301,4822,59,158,184,8857,335,102
"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)",6428,7523,7443,4782,5352,933,2896,7272,4641,4591,4474,9551,8587,5156,3847
"Delirium (Delirium, #1)",655,69,166,12,327,2799,1054,6805,20,507,5308,1,17,6550,3337
The Pelican Brief,521,5080,3240,966,1150,3841,726,1448,628,2242,3750,588,1963,4276,6690
Coraline,312,283,3521,3055,877,7422,8841,1641,7493,8109,3578,8995,817,518,416
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",666,167,322,2674,377,2170,429,282,8841,312,1924,9424,192,1368,5439
On the Road,162,1570,2464,1015,401,65,1312,173,350,301,129,121,1121,7495,1329
"The Rosie Project (Don Tillman, #1)",940,262,438,9973,4467,7431,7979,208,9787,566,3919,6116,2207,7044,2350
The Lucky One,647,4409,1417,694,4655,3204,9511,2378,4737,4174,2507,6028,455,4362,674
The Fountainhead,903,8688,655,4399,4992,6300,1517,1054,875,103,5989,1735,8039,9251,3213
"The Hunt for Red October (Jack Ryan Universe, #4)",222,4533,588,8727,1963,2203,1448,1100,9640,84,2830,3786,6238,1534,9879
"Watership Down (Watership Down, #1)",375,1431,48,2489,826,1695,2002,1020,755,4182,935,2475,4,846,6745
Is Everyone Hanging Out Without Me? (And Other Concerns),106,2335,352,3885,3822,4852,4824,9651,1162,745,7912,3618,4489,4451,4576
Cutting for Stone,697,906,143,1990,359,779,673,836,1539,2411,4250,1597,437,2939,8036
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",347,542,641,37,332,5229,3795,2957,362,6575,117,2781,8859,1937,1106
Treasure Island,1327,116,413,1695,706,58,1178,529,699,361,478,1207,204,778,1907
"The Son of Neptune (The Heroes of Olympus, #2)",4449,5405,8270,4911,1353,7218,774,4599,9053,6244,581,5118,3677,4125,5156
11/22/63,1736,9644,168,4674,8672,5026,8425,6903,9504,5901,5920,1065,4492,5981,5895
The Very Hungry Caterpillar Board Book,549,339,661,905,157,545,391,85,102,679,998,444,1287,4180,798
Cat's Cradle,4326,1620,3403,54,48,929,846,55,1800,13,360,337,9225,5840,173
The Time Machine,972,699,1204,547,95,706,413,529,637,1327,6822,390,97,1354,1953
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,1277,1097,1006,1925,2222,6782,8113,5234,1897,5285,2765,5097,4643,3356,1440
The Boy in the Striped Pajamas,47,241,4062,727,762,5587,3772,5589,231,87,6547,4043,7806,15,3206
Heart of Darkness,130,264,401,14,529,58,194,395,28,162,2601,614,65,8908,293
Safe Haven,9885,4353,1749,6306,3912,1417,9511,6051,3161,830,8935,5769,7542,4490,3042
"The Secret (The Secret, #1)",790,3196,370,1126,1855,909,1359,214,41,1506,861,2420,151,573,9322
I Know This Much Is True,326,46,30,196,67,11,47,124,1586,1176,8095,5925,6355,459,2630
Pet Sematary,578,705,1292,865,1075,915,1132,1987,1795,4524,1829,5763,168,731,5188
She's Come Undone,326,801,6201,124,1789,2193,5456,235,1317,1675,1740,7880,378,47,847
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",389,562,8460,4182,565,8154,862,6891,5414,3298,1412,1905,7788,3601,1665
Can You Keep a Secret?,6300,1594,1735,455,1430,4005,9171,8032,78,9416,5305,647,5751,4732,269
"City of Fallen Angels (The Mortal Instruments, #4)",3704,9136,7097,6834,6597,5597,4226,1505,3749,393,7315,2599,4409,2850,9013
"Good in Bed (Cannie Shapiro, #1)",455,647,156,78,694,2610,2938,228,777,1468,4732,5918,1713,1430,1111
The Thorn Birds,1597,1100,3971,2411,1961,66,33,1237,3772,8313,3003,734,6951,3465,7430
The Graveyard Book,282,377,322,666,277,2170,283,2674,3521,167,8841,3055,7493,5923,8109
The Light Between Oceans,318,2350,482,7096,437,235,7914,2088,333,2872,267,2796,459,2538,1990
"Inkheart (Inkworld, #1)",1298,1155,1554,2125,817,1323,2619,1968,3910,2230,377,4118,6477,6350,192
Who Moved My Cheese?,1157,4748,1446,1189,247,680,6426,4404,1330,3361,5675,2505,1303,2327,1507
A Walk in the Woods,6351,6453,8789,9100,6157,6251,9984,8524,7249,7375,8666,2063,5155,7770,7187
I Know Why the Caged Bird Sings,765,1068,15,468,87,2643,179,1691,81,6884,2247,6588,763,265,3523
Orphan Train,313,2350,2872,4988,567,333,267,482,7914,112,1499,2796,4491,3038,7960
"City of Lost Souls (The Mortal Instruments, #5)",6834,3704,5597,7097,393,4226,9136,1505,6111,6597,2850,3749,4409,3087,7315
"Where'd You Go, Bernadette",9830,993,359,1941,143,8686,795,9881,3134,1819,4714,459,5620,285,262
Where the Red Fern Grows,245,59,241,3886,77,1493,386,4,1742,540,621,577,93,740,999
Neverwhere,283,312,3521,8841,70,7493,9424,8893,192,3055,3319,8109,817,877,1298
The Unbearable Lightness of Being,2926,3913,9460,4531,5374,5792,7810,65,7022,483,297,6195,1364,1041,2024
Fangirl,2104,1004,2161,1297,3372,2908,3345,830,940,5105,1080,2558,9207,5279,363
A Prayer for Owen Meany,3557,3692,1256,2854,225,1238,1094,9691,270,295,8664,5500,6320,5150,4964
White Oleander,304,196,2820,3311,46,2630,795,1176,67,1083,3856,7520,1131,5552,1586
"Legend (Legend, #1)",6805,2799,5308,91,5488,4705,3337,2884,2377,259,4226,9725,6616,1045,711
Nineteen Minutes,4168,1749,6992,9916,8340,9885,381,8405,2856,4838,2450,7363,3277,7542,939
The Last Lecture,1440,6348,3905,7131,784,9347,114,3122,6885,513,3225,1897,4594,8901,2804
"The Eye of the World (Wheel of Time, #1)",960,988,1374,307,3298,192,3601,1665,1018,5951,417,389,70,4182,4806
The Pact,4732,1406,2378,5252,692,6584,1749,318,4185,2856,5916,6306,6705,9174,2726
"The Magician's Nephew (Chronicles of Narnia, #6)",292,602,219,117,1196,2078,561,5950,999,4242,2648,540,1253,792,3739
Still Alice,31,313,459,46,318,567,4491,250,7034,482,5932,8516,6729,67,231
"Reflected in You (Crossfire, #2)",796,3549,2483,1143,3863,7051,6098,4373,1104,3554,3017,5266,96,1981,7322
James and the Giant Peach,59,868,545,999,444,1497,1253,157,1373,2648,102,85,1707,793,50
"1st to Die (Women's Murder Club, #1)",1763,1379,2568,2261,1858,2773,3517,3622,3801,3163,1260,2354,4377,4048,2214
The Ultimate Hitchhiker's Guide to the Galaxy,1074,637,297,503,360,1800,65,1484,4047,1003,9225,298,9376,432,2325
One Day,6830,6288,273,4938,7137,5067,7244,567,7895,1481,3773,836,727,3792,825
Goodnight Moon,296,549,579,679,545,863,157,444,391,85,2095,888,601,1348,59
"I Am Number Four (Lorien Legacies, #1)",7554,6911,5965,4587,3339,8436,4596,6489,830,3968,2880,1780,2697,2987,4761
The Iliad,79,1280,2142,977,1167,2366,984,531,4149,3022,2076,2052,5940,1521,824
The Casual Vacancy,653,5032,2058,4610,698,1090,1164,695,5620,7710,7438,6082,1474,1444,196
The Runaway Jury,521,3240,5080,966,1448,2774,1150,7645,4276,9144,3779,3750,7707,3367,5949
Naked,1856,6829,8045,1839,106,574,2424,775,5961,8867,290,2451,2770,1976,7592
"Eldest (The Inheritance Cycle, #2)",923,1634,3989,9636,3052,6734,4125,6537,527,724,2518,3182,2476,631,624
"The Wonderful Wizard of Oz (Oz, #1)",93,518,7737,540,1327,9532,1253,826,444,3306,1695,59,1108,1896,2648
"Prince Caspian (Chronicles of Narnia, #2)",292,602,219,117,4242,1357,2078,5950,1196,4717,7833,5982,3051,8162,3739
We Were Liars,149,2876,9942,3039,6705,6226,445,475,2194,2161,2450,7431,8573,5954,6394
'Salem's Lot,1292,578,4642,705,865,5188,915,1248,1288,1987,1795,168,1075,1132,731
Fear and Loathing in Las Vegas,1570,1955,788,5122,7563,65,297,846,2703,914,658,8167,1444,6634,55
"Clockwork Prince (The Infernal Devices, #2)",3704,7097,393,6834,9136,752,2850,6597,4599,4226,5156,884,1505,7272,2008
Yes Please,2335,290,106,1044,3822,6170,4852,4734,5663,3885,470,721,9651,1942,3618
Othello,125,839,248,29,3948,770,5540,530,1666,387,456,555,824,7353,7074
Beloved,468,736,436,3127,317,3504,664,2314,483,3523,2053,941,100,198,178
"Graceling (Graceling Realm, #1)",1997,3626,9976,5156,4193,1175,8507,2764,1807,752,393,7957,3117,3295,1000
"The Bad Beginning (A Series of Unfortunate Events, #1)",6189,4925,4543,5984,9661,7919,3978,4686,7378,2733,8753,5107,3191,5725,3878
All Quiet on the Western Front,5392,401,3964,7317,2834,413,8470,116,58,32,264,8733,6024,361,3080
"Oh, The Places You'll Go!",157,85,2176,50,278,545,549,102,296,905,661,579,976,444,184
And the Mountains Echoed,143,4491,697,1990,320,836,906,1242,2088,313,5161,291,2939,940,993
Do Androids Dream of Electric Sheep?,432,1800,8893,1620,1484,298,4515,55,48,54,503,809,1980,9758,729
Oliver Twist,204,590,5907,83,160,413,116,2846,778,1178,1327,293,103,3323,6190
The Screwtape Letters,219,292,1357,602,2266,3331,2621,3392,514,103,2236,109,6613,6902,792
"Anna and the French Kiss (Anna and the French Kiss, #1)",2726,830,1453,1720,6226,3372,1297,475,8219,827,1080,324,4143,2629,3665
How the Grinch Stole Christmas!,157,85,2176,545,278,102,1274,50,296,444,626,998,661,2078,999
V for Vendetta,532,2760,1077,568,3635,4874,8109,1265,1422,6445,6568,8982,8159,6411,9626
John Adams,3572,3071,2175,5081,3142,1333,2790,4971,9997,3488,3104,5336,870,9004,2651
"Odd Thomas (Odd Thomas, #1)",5945,4528,3065,2513,7047,4678,3921,8068,2666,5612,2859,1448,2497,6319,7080
"The Subtle Knife (His Dark Materials, #2)",1196,918,877,1530,9424,9152,5632,1964,1591,3739,5414,6891,2382,1137,8320
"Stargirl (Stargirl, #1)",5066,1445,1279,77,5526,9757,4934,5913,5552,9361,3206,4612,7943,8298,8438
"The Red Pyramid (Kane Chronicles, #1)",4449,5405,1399,8270,3157,4782,1504,3636,1323,2463,2780,2719,1002,713,4000
Stranger in a Strange Land,1800,8495,7263,7589,276,432,70,8893,360,3978,4167,789,4515,191,5415
Dress Your Family in Corduroy and Denim,8045,6829,1839,574,1856,106,1156,290,8867,4418,2770,2451,1976,2252,7592
The BFG,868,545,999,444,59,1383,2315,7468,793,561,2648,2597,50,1373,1253
A Short History of Nearly Everything,3696,8623,6065,3609,9910,4119,439,6781,6567,6219,1314,6435,7594,3207,7142
The Call of the Wild,116,58,413,103,293,1695,478,730,1327,1178,32,699,650,204,4
"The Death Cure (Maze Runner, #3)",4024,5662,12,655,5660,2880,69,6301,327,6901,2916,2799,20,2377,4705
Stardust,283,312,3521,9424,8893,192,8841,2125,5632,2230,1298,9331,4182,4445,817
The Namesake,5932,3021,5448,8015,4473,795,657,6030,906,6867,5456,673,2462,1131,4769
"A Discovery of Witches (All Souls Trilogy, #1)",4821,3121,7725,2712,3424,1780,1302,4761,8465,2547,927,3066,3622,8369,2634
Norwegian Wood,1703,430,1915,1270,3540,1205,3708,4388,9517,8788,7974,2520,3156,8114,649
Where the Heart Is,57,1311,64,5211,8094,1649,2087,409,1749,625,1386,7052,8405,328,7708
"Will Grayson, Will Grayson",88,275,6124,993,5064,8170,1919,7329,3045,1297,74,3796,1766,6165,6887
A Million Little Pieces,2363,3726,187,238,1102,38,519,1856,6582,179,1852,4391,3250,781,2293
"Frostbite (Vampire Academy, #2)",2956,5308,504,3563,393,3473,3852,7697,2417,2377,2275,4226,2987,4817,7288
Quiet: The Power of Introverts in a World That Can't Stop Talking,892,6882,537,3707,7111,9344,1344,9375,1601,5545,9999,8703,2255,5269,9700
"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",245,793,59,3886,1373,321,77,241,2786,388,999,2523,740,1497,1639
The Crucible,154,29,2240,456,715,125,353,770,824,1454,1186,839,2052,138,1580
"Hatchet (Brian's Saga, #1)",935,386,3886,2475,375,321,77,245,116,730,853,58,1279,1742,2032
"The Final Empire (Mistborn, #1)",192,307,3319,1479,5414,9331,1356,2631,70,7934,377,877,2471,2518,4182
The Strange Case of Dr. Jekyll and Mr. Hyde,97,1354,71,1204,95,2370,529,298,1178,699,972,4183,547,1327,597
The Lorax,157,85,545,296,2176,549,102,50,184,444,278,661,905,335,339
"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",90,5725,1059,8253,4658,7840,6953,579,9929,7514,6409,5075,157,9401,6841
"Throne of Glass (Throne of Glass, #1)",1965,536,5156,7642,2850,9976,5488,4599,9591,2194,5793,2941,9964,7957,1335
"Shadow Kiss (Vampire Academy, #3)",2956,5308,393,3852,3563,504,4817,7288,2417,3473,1169,6834,3185,4324,7642
For Whom the Bell Tolls,113,225,2601,3255,58,1161,32,778,116,1184,413,131,2304,14,3799
Hotel on the Corner of Bitter and Sweet,3311,9830,3038,848,1216,2350,231,2872,567,4988,267,273,195,313,1714
Perfume: The Story of a Murderer,727,3085,7147,2097,6055,8532,6160,743,4205,5926,4943,95,2869,1582,664
Fast Food Nation: The Dark Side of the All-American Meal,550,1060,508,8286,688,3546,7716,9934,9554,5120,4699,3646,208,8867,92
The Tales of Beedle the Bard,469,25,3220,2101,1286,7443,3275,3054,6428,1952,3526,5118,5405,1027,4449
Neuromancer,360,2102,3573,5310,8081,1191,633,371,442,1179,1620,1800,4326,5341,2328
A Farewell to Arms,357,3255,2601,113,899,32,1184,1681,65,301,121,116,225,58,14
The Tell-Tale Heart and Other Writings,1717,1784,1706,3169,3037,1354,3101,6629,2370,792,4271,95,6063,4183,5747
The Art of War,3923,479,7808,8907,1378,472,7151,8140,1910,6455,7481,2247,9172,5527,5779
Defending Jacob,3507,1543,61,9901,2384,3466,2212,2639,86,5080,6213,8198,939,1092,4496
Breakfast of Champions,283,48,5840,846,1620,6298,1161,4015,55,8893,1204,5315,95,13,7008
The New Drawing on the Right Side of the Brain,1756,580,8907,7994,1777,5377,9988,6457,8195,9428,7421,3208,7998,8730,3543
Bel Canto,930,4565,378,5429,9531,1310,8384,795,115,3418,7638,587,5236,3427,2869
"Guns, Germs, and Steel: The Fates of Human Societies",2253,9243,6435,2298,6612,7738,8721,6996,9910,9946,7917,4906,2498,7844,3782
Fried Green Tomatoes at the Whistle Stop Cafe,57,3963,4544,515,2939,734,3237,3772,4774,7313,6579,1158,1185,4555,1597
"Things Fall Apart (The African Trilogy, #1)",2190,5700,1544,468,1792,3186,9991,2367,2053,2240,7495,4,523,853,3903
The Undomestic Goddess,647,5305,6718,2075,1430,7890,455,1735,6300,4732,6121,3034,1594,1532,4005
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,5727,7994,7404,5845,9973,4677,9176,4404,2557,8513,8451,6995,2660,7341,8732
The Three Musketeers,103,706,778,116,1953,361,1327,699,997,293,1695,972,1178,375,1907
Little Bee,1231,111,567,118,9034,378,57,906,273,9627,836,1051,2939,1131,1909
"Evermore (The Immortals, #1)",1780,224,6143,2381,600,2712,5370,3424,5410,4393,2283,9138,2593,4867,2687
The Witches,545,999,868,444,59,561,50,1383,7468,793,1196,2597,7524,278,102
The Thirteenth Tale,258,270,5581,1361,1597,33,47,5022,9795,3313,3298,7750,8858,9498,307
"Spirit Bound (Vampire Academy, #5)",2956,5308,393,7288,504,3852,2417,3563,4226,3473,947,4817,4324,5328,6834
"Blood Promise (Vampire Academy, #4)",2956,5308,3563,2417,504,947,2358,7288,3852,2275,393,3473,2377,2858,4324
Message in a Bottle,647,3119,455,269,156,9511,694,674,3011,2378,5305,1417,3070,4353,3567
The Paris Wife,2769,5742,3228,678,9785,1131,7305,4950,6228,46,5932,4674,9998,7685,5587
"Harry Potter Boxset (Harry Potter, #1-7)",25,27,24,18,2,23,3275,21,2101,3054,6009,1308,1,47,507
"The Elite (The Selection, #2)",2364,6004,2665,259,5856,5308,5887,1045,946,12,5877,536,1523,4705,3576
The Name of the Rose,4435,95,8079,65,7808,5425,9247,5046,5734,4106,2698,809,1717,6385,13
Go Ask Alice,2695,621,9361,2122,5434,4092,2787,5474,9381,927,8119,3991,9283,4577,5988
A Confederacy of Dunces,3638,6191,104,9794,4973,1660,6932,7777,424,264,5046,212,6256,9025,919
The Importance of Being Earnest,1454,2103,530,248,5840,4183,855,125,456,1887,839,997,413,514,95
"The Mark of Athena (The Heroes of Olympus, #3)",4449,5405,8270,4911,4599,1353,6244,5156,8462,7218,5118,2599,3241,774,2194
"The Color of Magic (Discworld, #1; Rincewind #1)",6144,5099,283,192,3317,5145,5632,6828,9424,307,8373,6083,8294,6189,4686
Kafka on the Shore,520,1915,380,4388,1205,3540,3828,1282,1500,9517,7974,3708,9978,8788,8114
"Red Dragon (Hannibal Lecter, #1)",6376,726,7601,7477,3619,9832,2592,9517,526,4268,6479,168,5613,1832,6621
"I, Robot (Robot #0.1)",360,5055,1800,637,298,8893,1484,503,8187,1074,4585,1003,9085,5666,633
"Dark Lover (Black Dagger Brotherhood, #1)",3265,9342,6269,7064,3454,9201,2083,9491,6689,4679,2545,4857,9148,5000,3527
"Crescendo (Hush, Hush, #2)",945,224,3975,1276,2410,2217,600,6834,6178,1559,7674,3816,5106,9106,2974
Before I Fall,9917,6226,8573,3283,1767,4318,9130,5731,6034,7280,9328,5793,1095,6388,4572
The God of Small Things,8015,1055,5448,6030,662,8973,1310,2612,9966,5932,657,3021,4473,354,8175
The Invention of Wings,482,313,143,6793,2538,9582,4469,8434,31,2872,267,459,4491,333,3955
What Alice Forgot,940,112,6793,3615,7914,9437,8434,9613,6090,3847,285,4141,2360,4988,9942
A Brief History of Time,1235,1224,3696,6781,3609,4119,7398,8400,4661,6997,5256,6567,8623,7517,6219
"Fall of Giants (The Century Trilogy, #1)",4385,7193,9861,2772,3621,5774,2836,6544,3861,7247,6139,231,4692,4108,6903
Under the Dome,5763,4144,915,4387,1987,4524,7015,2713,1941,2055,7494,5521,2352,7924,5920
Snow Crash,3006,2241,70,3884,360,637,322,5192,1620,9922,8893,1205,167,312,3111
Just Listen,5391,2319,1297,8298,2428,9704,8330,3665,1399,1841,1504,1652,6388,5406,120
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",158,868,59,1253,545,826,335,601,184,2078,1823,561,157,793,1938
Before I Go to Sleep,811,5117,4900,2530,61,4546,2273,3277,4380,3466,2396,5359,5408,9942,348
A Study in Scarlet,618,1631,1240,5870,3292,1320,2397,4719,8768,9240,9952,413,8412,9389,200
"Brisingr (The Inheritance Cycle, #3)",923,1634,4125,9636,3989,5414,5566,2017,4233,6734,3182,2871,2476,3052,9926
The Purpose Driven Life: What on Earth Am I Here for?,4936,3890,5285,5234,4677,1697,2963,8451,3591,6945,1929,1438,4151,8217,412
"Betrayed (House of Night, #2)",2593,5473,3783,1387,3165,1724,981,1971,2038,6511,4470,4456,9920,2951,8584
"Storm Front (The Dresden Files, #1)",7470,6828,7056,5685,2758,5145,4683,5347,4498,8708,8103,9388,7050,9643,3436
Northanger Abbey,230,171,471,10,42,961,2499,4653,997,6302,76,8740,93,1073,829
"The 5th Wave (The 5th Wave, #1)",3087,7672,9179,1045,5393,3770,884,2008,713,5184,5753,4611,7045,8041,7120
Cold Mountain,1961,225,8435,148,1238,66,32,6726,131,3776,33,6333,1202,3465,4
If You Give a Mouse a Cookie,1229,971,549,6850,2096,863,627,905,296,661,876,1287,3936,1211,5003
"Something Blue (Darcy & Rachel, #2)",465,1063,1748,952,4732,6300,78,5305,1430,1107,3011,1713,509,310,269
A Streetcar Named Desire,715,125,1454,387,2240,154,353,29,3916,427,1580,714,1521,4974,1584
The Historian,258,7247,4182,2471,4108,3322,192,3319,9331,925,1159,1090,489,7631,9954
Station Eleven,9504,4964,6517,6199,2915,742,1405,4041,7900,6228,1837,2570,3837,4321,1786
A Man Called Ove,4714,1173,2872,267,313,333,9881,5819,2772,482,2350,437,318,836,235
"Clockwork Princess (The Infernal Devices, #3)",752,393,1264,7097,1002,3704,1022,2629,2167,6834,4226,1353,1004,713,7272
"The Good Earth (House of Earth, #1)",118,225,131,4,2343,32,650,1714,757,3311,1466,8664,4250,2053,901
Ways of Seeing,3181,8605,2797,1146,3840,2108,3785,5435,8259,7622,4723,6832,6572,5275,6559
"Dragonfly in Amber (Outlander, #2)",2047,3143,5324,6757,5323,5561,5052,997,9409,8183,4901,841,5717,2507,9883
