,1,2,3,4,5,6,7,8,9,10
Othello,125,714,154,839,248,29,855,3948,770,1885
Beloved,763,468,1642,736,436,3127,6389,317,3504,664
"Graceling (Graceling Realm, #1)",933,1766,1997,3626,9976,5156,4193,1175,8507,2764
"The Bad Beginning (A Series of Unfortunate Events, #1)",873,1225,1289,1975,1033,1827,1163,1476,1774,1233
All Quiet on the Western Front,5392,401,3964,7317,2834,413,8470,116,58,32
"Oh, The Places You'll Go!",251,157,85,364,391,1348,798,2095,5303,3047
And the Mountains Echoed,143,4491,697,1990,320,836,906,1242,2088,313
Do Androids Dream of Electric Sheep?,432,1800,8893,1620,1484,298,4515,55,48,54
Oliver Twist,204,590,5907,83,160,413,116,2846,778,1178
The Screwtape Letters,493,1106,2781,3061,2957,6575,8859,8312,332,219
"Anna and the French Kiss (Anna and the French Kiss, #1)",1004,2104,2726,830,1453,1720,6226,3372,1297,475
How the Grinch Stole Christmas!,157,358,251,1348,85,798,2095,391,3047,2176
V for Vendetta,532,2760,1077,568,3635,4874,8109,1265,1422,6445
John Adams,3572,2174,3071,687,2175,5081,3142,1333,2790,4971
"Odd Thomas (Odd Thomas, #1)",3803,1709,2009,2213,3806,4085,4124,3804,6073,3513
"The Subtle Knife (His Dark Materials, #2)",480,62,937,1196,918,877,1530,9424,9152,5632
"Stargirl (Stargirl, #1)",5066,1445,4145,1279,77,5526,9757,4934,5913,5552
"The Red Pyramid (Kane Chronicles, #1)",1359,909,294,163,4998,428,1952,8487,3526,2420
Stranger in a Strange Land,1179,5381,633,1800,7904,5141,8495,6123,7263,7589
Dress Your Family in Corduroy and Denim,344,534,943,101,1923,2579,8045,6829,1040,1839
The BFG,416,158,335,184,1938,1662,8192,6097,2741,1258
A Short History of Nearly Everything,3696,8623,6065,3609,9910,4119,439,6781,6567,6219
The Call of the Wild,116,935,58,1650,413,103,293,1695,478,730
"The Death Cure (Maze Runner, #3)",259,91,946,4024,5662,12,655,5660,2880,69
Stardust,322,666,282,283,167,312,3521,2170,9424,8893
The Namesake,1310,5932,662,3021,5448,8015,1242,4473,795,657
"A Discovery of Witches (All Souls Trilogy, #1)",978,4821,1400,3121,7725,2712,3424,1780,1302,4761
Norwegian Wood,1703,430,520,1915,1270,3540,1205,3708,4388,9517
Where the Heart Is,57,1311,64,5211,8094,1649,2087,409,1749,625
"Will Grayson, Will Grayson",88,275,6124,993,5064,8170,1919,7329,3045,1297
A Million Little Pieces,2379,2363,3726,187,238,1102,38,519,1856,6582
"Frostbite (Vampire Academy, #2)",394,419,543,418,759,1890,1416,3095,210,2997
Quiet: The Power of Introverts in a World That Can't Stop Talking,892,6882,537,3707,7111,9344,1344,9375,1601,5545
"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",245,793,59,3886,1373,321,77,241,2786,388
The Crucible,154,29,2240,456,715,125,353,770,824,1454
"Hatchet (Brian's Saga, #1)",935,386,3886,6755,2475,375,321,77,245,116
"The Final Empire (Mistborn, #1)",565,603,1665,192,307,1049,3319,562,8373,1479
The Strange Case of Dr. Jekyll and Mr. Hyde,97,1354,71,1204,95,2370,529,298,1178,699
The Lorax,358,1348,157,85,798,2095,364,545,296,251
"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",1166,1043,1428,1194,2070,1376,2966,4495,90,5725
"Throne of Glass (Throne of Glass, #1)",752,1264,1022,2629,2167,1965,536,5156,7642,2850
"Shadow Kiss (Vampire Academy, #3)",384,543,419,418,759,1890,1416,3095,210,2997
For Whom the Bell Tolls,264,401,130,3126,113,225,2601,3255,7251,58
Hotel on the Corner of Bitter and Sweet,7178,3311,9830,3038,848,1216,2350,231,2872,567
Perfume: The Story of a Murderer,727,3085,7147,2097,6055,8532,6160,743,4205,5926
Fast Food Nation: The Dark Side of the All-American Meal,550,1060,508,8286,688,3546,7716,9934,9554,5120
The Tales of Beedle the Bard,469,25,3220,2101,6141,1286,7443,3275,3054,6428
Neuromancer,360,2102,3573,3006,5310,8081,1191,633,371,442
A Farewell to Arms,264,395,130,357,3255,2601,3126,113,899,32
The Tell-Tale Heart and Other Writings,2365,6385,1717,512,1784,9114,1706,3169,3037,2468
The Art of War,3923,479,7808,8907,1378,472,7151,8140,1910,6455
Defending Jacob,3507,1543,61,9901,2384,3466,2212,2639,86,5080
Breakfast of Champions,297,3068,3600,65,1074,2172,2098,1676,4517,2552
The New Drawing on the Right Side of the Brain,1756,580,8907,7994,1777,5377,9988,6457,8195,9428
Bel Canto,930,4565,4363,378,5429,9531,1310,8384,795,115
"Guns, Germs, and Steel: The Fates of Human Societies",2253,9243,1969,5765,6435,2298,6612,7738,8721,6996
Fried Green Tomatoes at the Whistle Stop Cafe,57,3963,4544,515,8811,2939,734,3237,3772,5615
"Things Fall Apart (The African Trilogy, #1)",2190,5700,1544,468,1792,3186,9991,2367,2053,2240
The Undomestic Goddess,308,509,761,1063,952,634,647,5305,6718,955
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,5727,7994,7404,5845,9973,4677,9176,4404,2557,8513
The Three Musketeers,103,706,778,116,1953,361,1327,699,997,293
Little Bee,1231,111,567,118,9034,378,57,906,273,9627
"Evermore (The Immortals, #1)",1830,2529,1861,2715,3031,1780,224,6143,2381,600
The Witches,373,158,335,1662,184,1938,8192,6097,2123,2741
The Thirteenth Tale,258,270,5581,1361,1597,33,47,5022,9795,3313
"Spirit Bound (Vampire Academy, #5)",543,394,419,384,759,1890,2997,1416,3793,3095
"Blood Promise (Vampire Academy, #4)",543,394,384,418,759,1890,1416,3095,210,2997
Message in a Bottle,622,552,571,683,152,716,1459,686,44,1414
The Paris Wife,2769,5742,3228,678,9785,1131,7305,4950,2003,6228
"Harry Potter Boxset (Harry Potter, #1-7)",25,27,24,18,2,23,3753,3275,21,2101
"The Elite (The Selection, #2)",206,506,1062,2532,5712,4195,2179,8869,5974,2364
The Name of the Rose,4435,95,8079,65,7808,5425,9247,5046,5734,4106
Go Ask Alice,2695,621,9361,2122,5434,4092,2787,5474,9381,927
A Confederacy of Dunces,3638,6191,104,9794,4973,1660,6932,7777,424,264
The Importance of Being Earnest,1454,3699,2103,530,7838,248,5840,4183,855,125
"The Mark of Athena (The Heroes of Olympus, #3)",684,294,1027,175,163,3526,159,1359,2420,4449
"The Color of Magic (Discworld, #1; Rincewind #1)",1343,6144,2109,1368,1924,1089,755,3362,2658,5099
Kafka on the Shore,520,1915,380,4388,1205,3540,1270,1703,3828,1282
"Red Dragon (Hannibal Lecter, #1)",209,6376,726,1802,7601,7477,3619,9832,2592,9517
"I, Robot (Robot #0.1)",1914,3754,9758,360,5055,5782,276,3978,1223,789
"Dark Lover (Black Dagger Brotherhood, #1)",1291,889,841,1336,1483,1473,1932,1513,4849,2237
"Crescendo (Hush, Hush, #2)",583,1122,202,945,224,3975,1276,2410,2217,600
Before I Fall,9917,6226,8573,3283,1767,4318,9130,5731,6034,7280
The God of Small Things,8015,1055,5448,6030,662,8973,1310,2612,9966,5932
The Invention of Wings,482,313,143,6793,2538,9582,4469,8434,31,2872
What Alice Forgot,262,1804,940,235,1028,112,1819,6793,3615,7914
A Brief History of Time,1235,1224,3696,6781,3609,4119,7398,8400,4661,6997
"Fall of Giants (The Century Trilogy, #1)",1081,1798,4385,7193,642,9861,2772,3621,5774,8386
Under the Dome,794,8630,3756,1360,1182,1576,295,1347,2979,5763
Snow Crash,1519,3006,2241,70,3884,360,7003,637,322,5192
Just Listen,615,541,831,1215,1667,2456,1789,2870,5391,667
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",2648,158,868,59,1253,545,826,335,601,184
Before I Go to Sleep,811,5117,4900,2530,61,4546,2273,3277,4380,3466
A Study in Scarlet,618,8979,3594,1631,514,6187,5508,769,1240,5870
"Brisingr (The Inheritance Cycle, #3)",648,53,345,4603,923,3636,1634,4125,9636,3989
The Purpose Driven Life: What on Earth Am I Here for?,4936,3890,5285,5234,4677,1697,2963,8451,3591,6945
"Betrayed (House of Night, #2)",643,491,783,246,814,1093,805,1958,2986,7617
"Storm Front (The Dresden Files, #1)",1228,891,1034,1127,1363,1450,1340,1304,1394,1630
Northanger Abbey,230,171,471,10,42,961,2499,4653,997,6302
"The 5th Wave (The 5th Wave, #1)",1366,4060,3087,7672,9179,1045,5393,3770,884,2008
Cold Mountain,1961,225,8435,148,1238,66,32,6726,131,3776
If You Give a Mouse a Cookie,1921,1229,1939,971,549,5590,3014,6850,2096,863
"Something Blue (Darcy & Rachel, #2)",156,647,465,694,1063,1748,952,4732,6300,78
A Streetcar Named Desire,715,1186,125,1454,2380,387,2240,154,353,29
The Historian,258,7247,4182,2471,4108,3322,192,3319,9331,925
Station Eleven,9504,4964,6517,6199,2915,742,1405,4041,7900,6228
A Man Called Ove,4714,2058,1173,2872,267,313,333,9881,5819,2772
"Clockwork Princess (The Infernal Devices, #3)",351,183,607,134,1754,2194,6977,309,752,153
"The Good Earth (House of Earth, #1)",118,225,131,4,2343,32,650,1714,757,3311
Ways of Seeing,3181,8605,2797,1146,3840,2108,3785,5435,8259,7622
"Dragonfly in Amber (Outlander, #2)",554,712,864,1026,1275,137,1723,6931,7935,5371
Holy Bible: King James Version,2236,1338,513,6902,4868,6457,1721,5919,2082,2248
In Her Shoes,310,1748,455,647,156,2589,1107,4431,694,78
The Hobbit: Graphic Novel,1129,161,155,4410,7,189,19,518,964,1108
The Brief Wondrous Life of Oscar Wao,7563,516,941,948,2079,3504,662,6954,6932,5456
Their Eyes Were Watching God,2190,736,2240,782,317,4,763,2508,3523,899
Fantastic Beasts and Where to Find Them,1286,9048,24,23,25,27,18,2,3753,3275
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,3885,1044,352,8933,5663,4852,4734,3432,6905,8974
Mansfield Park,451,230,171,76,10,4653,43,6302,42,1771
Man's Search for Meaning,87,9296,2946,15,7998,3949,7151,4043,7949,762
"In the Woods (Dublin Murder Squad, #1)",1325,200,1911,1176,5080,768,7414,8377,2890,726
The God Delusion,1294,3485,3625,8915,6202,6156,2503,900,4120,9157
"Where She Went (If I Stay, #2)",149,2450,7802,363,2876,2104,1045,2838,3655,3039
The World According to Garp,325,704,2559,1586,405,65,2089,196,523,6242
"Killing Floor (Jack Reacher, #1)",1424,1600,1358,2393,2429,2522,1617,2135,2245,1870
Robinson Crusoe,116,1605,529,293,58,1695,935,375,1178,413
The Prince,772,529,14,3717,3552,403,1354,4330,390,2724
"The Amber Spyglass (His Dark Materials, #3)",368,62,937,918,1530,9424,1196,9152,6891,877
"Wizard's First Rule (Sword of Truth, #1)",1071,1536,1638,4182,3298,3291,7788,9331,192,1759
The Kitchen House,437,313,2872,31,318,231,2067,2796,7034,267
Franny and Zooey,2339,664,5,65,709,1184,8440,2314,3255,2875
Choke,196,951,2011,854,1124,4369,1389,1236,8874,4392
The Brothers Karamazov,1041,1364,177,498,4104,4106,2131,8704,9561,2177
"The City of Ember (Book of Ember, #1)",3084,9843,6901,1095,9672,9010,5541,8197,1059,6985
The Andromeda Strain,693,84,1592,640,2594,6113,5343,660,1564,1117
The Green Mile,739,243,5949,168,176,1292,9360,675,9923,8371
The Prophet,6298,4822,9784,5972,8819,9531,1847,472,6648,8907
"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",1265,828,1380,1370,2451,3248,8367,1422,8737,9626
"Untamed (House of Night, #4)",643,783,814,1958,449,805,1093,246,2986,7617
"Speaker for the Dead (Ender's Saga, #2)",2900,838,1213,7589,760,2755,1646,7149,8432,6650
Mere Christianity,362,3061,8312,1106,2781,6575,8859,2957,4981,219
The Secret History,1883,1957,6675,2637,2914,5777,473,2693,3381,7970
A Heartbreaking Work of Staggering Genius,9506,658,476,3519,2288,3792,4357,380,2025,2559
"The Clan of the Cave Bear (Earth's Children, #1)",2406,2047,2965,7644,3941,1275,1961,1723,2411,3465
Black Beauty,93,639,540,1772,8740,346,4242,59,3565,116
War and Peace,485,177,83,2177,1041,590,2131,58,160,413
American Psycho,1908,788,2806,5550,3048,2033,6007,130,9630,1582
"The Princess Diaries (The Princess Diaries, #1)",3583,3452,4345,5402,6201,7759,8225,1452,7880,6628
"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",3197,4027,5263,4253,5905,5826,6336,7088,9602,982
"The Walking Dead, Vol. 01: Days Gone Bye",5204,4325,5464,5773,4432,3544,7010,3809,1451,7781
"2001: A Space Odyssey (Space Odyssey, #1)",1019,5073,5982,2536,637,298,4768,5676,360,1003
Redeeming Love,1618,2940,8854,6142,4320,9301,7489,3095,1925,5308
"Left Behind (Left Behind, #1)",6420,3614,3286,5030,4289,4632,4548,6823,4542,8465
"The One (The Selection, #3)",206,423,1062,2532,2179,5712,4195,5974,8869,1523
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",1,17,20,12,8577,3337,717,280,5308,69
Nickel and Dimed: On (Not) Getting By in America,398,9554,193,4527,4309,8867,5120,8929,4356,6257
Remember Me?,308,761,6300,694,5305,411,634,952,1430,455
"The Great Hunt (Wheel of Time, #2)",528,722,960,1023,330,949,1249,1119,1278,2056
"Postmortem (Kay Scarpetta, #1)",2351,3108,1091,2031,2074,2745,2150,2296,4127,3876
The Complete Stories and Poems,1717,9114,1784,1706,6385,402,2365,7037,6298,3101
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,15,7297,87,762,1815,5643,2844,6613,144,6547
The Adventures of Sherlock Holmes,769,446,618,8979,3594,1320,1240,6187,1631,3292
The Prince of Tides,4544,57,3963,409,2939,6579,1185,33,118,2578
The Amazing Adventures of Kavalier & Clay,6454,948,467,4788,3889,6932,3417,7370,3504,2053
"Perfect Chemistry (Perfect Chemistry, #1)",1906,3263,1285,1614,5278,3943,6388,1284,9616,8941
Peter Pan,1327,826,540,346,257,93,2125,792,229,1253
"Pretties (Uglies, #2)",187,781,1398,8197,280,6952,711,5890,2711,91
The Wind-Up Bird Chronicle,430,1205,1915,380,3540,4388,1270,3828,1500,1282
"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",966,2639,123,227,2384,281,3240,7868,86,2754
Cloud Atlas,297,1074,572,5177,337,516,65,2914,1385,8960
The Things They Carried,9743,87,4,3169,48,1458,3946,7155,5,271
Wall and Piece,7861,1756,776,9502,8259,4186,4054,1777,1495,8605
"Pandemonium (Delirium, #2)",280,1118,1054,655,1413,166,2377,7013,69,327
"Darkly Dreaming Dexter (Dexter, #1)",3171,4633,1607,7601,209,6321,7477,1802,431,8858
"Living Dead in Dallas (Sookie Stackhouse, #2)",563,558,631,624,652,724,197,748,871,1201
"The Dragon Reborn (Wheel of Time, #3)",722,949,1023,330,510,1119,1278,1362,2056,1249
Gulliver's Travels,1327,293,478,706,1354,298,71,699,390,97
Much Ado About Nothing,248,855,1885,773,839,427,3699,125,5540,353
Beowulf,977,341,1280,5940,79,1167,2076,2142,984,3022
Batman: Year One,1623,568,2678,735,3897,365,9601,6775,8285,9626
Go Set a Watchman,6055,1884,856,8141,5244,2486,7136,9242,5607,3722
When You Are Engulfed in Flames,372,344,101,943,1923,2579,8045,106,2770,1040
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",1502,2814,928,858,4255,9153,2984,2587,1782,2558
"Red Queen (Red Queen, #1)",1472,5793,7642,393,752,5712,6136,4306,1965,1264
The Power of Habit: Why We Do What We Do in Life and Business,1371,1621,3129,7111,9700,7845,7754,7876,892,3603
Midnight in the Garden of Good and Evil,2592,6693,975,5518,8323,181,5225,8893,6298,6147
"Hopeless (Hopeless, #1)",2040,1110,1165,3015,938,1562,962,2542,1753,1568
A Little Princess,93,42,639,518,59,346,8740,497,133,1210
The Truth About Forever,443,831,615,2456,1215,1667,2870,667,1789,1297
"The Horse and His Boy (Chronicles of Narnia, #5)",602,347,292,641,37,332,5229,3795,219,362
"Last Sacrifice (Vampire Academy, #6)",419,394,384,418,759,1890,1416,3095,2997,3793
"Little House on the Prairie (Little House, #2)",681,1956,2571,2324,2556,1489,3234,740,59,133
The Velveteen Rabbit,85,59,335,444,157,184,158,601,278,102
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,3480,8907,6822,6390,4796,2329,298,8916,3049,3504
The War of the Worlds,298,9225,972,699,1204,6229,1354,390,529,637
"Pretty Little Liars (Pretty Little Liars, #1)",1824,2152,2402,2919,2685,3365,2929,4436,8797,7192
Corduroy,296,679,339,2260,971,1229,85,905,661,545
The Omnivore's Dilemma: A Natural History of Four Meals,1060,398,3546,2357,5070,574,3646,3208,6996,688
Life After Life,2848,143,668,7486,4628,1539,2037,9150,1212,4711
The Rescue,571,716,683,622,152,420,686,1459,1414,44
Needful Things,1208,349,670,967,944,578,675,556,915,705
"Voyager (Outlander, #3)",463,712,864,1275,1026,137,6931,7935,1723,5371
"Hamlet: Screenplay, Introduction And Film Diary",353,125,714,770,839,248,154,1885,5540,8726
Cujo,305,675,243,237,578,705,1123,176,1075,865
The Virgin Suicides,570,178,60,3381,1421,8168,326,3519,2559,951
"Dead to the World (Sookie Stackhouse, #4)",563,631,624,527,652,724,197,748,871,1201
Tess of the D'Urbervilles,2600,103,270,2197,1094,1681,160,1088,498,361
Madame Bovary,3379,778,58,116,4602,899,2600,872,63,1681
The Phantom Tollbooth,117,444,793,738,2597,93,2648,826,158,1253
"The Way of Kings (The Stormlight Archive, #1)",862,1200,3341,307,2792,2978,1665,9141,2160,389
"Club Dead (Sookie Stackhouse, #3)",558,631,527,624,652,724,197,748,871,1201
It's Kind of a Funny Story,74,3919,68,9813,1244,2122,3327,5279,7565,604
"The Well of Ascension (Mistborn, #2)",389,603,1665,1049,307,8373,192,8154,9331,7893
"After You (Me Before You, #2)",940,4123,1433,1028,7914,262,7659,4058,285,2575
The Language of Flowers,9830,318,333,273,9012,46,396,31,7052,8434
"Batman: The Dark Knight Returns (The Dark Knight Saga, #1)",1623,532,735,3897,365,2678,8420,1422,2514,8181
"The Angel Experiment (Maximum Ride, #1)",1351,1535,2282,2381,2687,2974,3864,8844,8777,5444
High Fidelity,3986,795,8940,6840,6400,557,1792,6194,9483,7379
The Guardian,552,716,683,420,622,152,1459,686,1414,44
"Oryx and Crake (MaddAddam, #1)",1405,2570,119,1868,929,4326,337,297,742,2187
"Men Are from Mars, Women Are from Venus",4677,6894,5995,3059,8382,5867,5831,412,4744,3251
Kitchen Confidential: Adventures in the Culinary Underbelly,6021,3646,3546,3751,4013,4394,8286,5274,9391,550
Timeline,1117,640,6113,5343,1592,1296,660,487,1564,6551
Candide,529,3508,162,872,8906,2024,3342,55,2002,4602
Tuck Everlasting,245,59,241,1373,1222,321,93,1497,386,540
Christine,670,556,705,305,553,675,349,967,243,1208
Are You My Mother?,1488,5303,3274,157,339,251,3047,798,3900,296
The Story of Art,4780,4688,1756,8604,524,6832,9721,1420,776,3181
"Scarlet (The Lunar Chronicles, #2)",774,1353,252,5118,6756,327,1175,752,7116,2194
"Rich Dad, Poor Dad",3009,8513,1684,2318,9762,680,1188,2310,6398,8549
"Silence (Hush, Hush, #3)",434,1122,202,3975,2217,945,6178,2410,6834,1276
The Magicians (The Magicians #1),1682,2313,8960,1136,8814,2432,7441,572,6474,3238
"Death Note, Vol. 1: Boredom (Death Note, #1)",7807,7217,8567,6444,8158,8321,9092,893,6217,1828
"A Great and Terrible Beauty (Gemma Doyle, #1)",2577,1944,7655,4233,6891,3052,3065,8154,2642,8132
Everything Is Illuminated,3560,249,45,2700,47,2018,9263,407,1005,4810
"The Bourne Supremacy (Jason Bourne, #2)",1963,8631,2789,222,3925,9333,9852,6908,3709,785
"Easy (Contours of the Heart, #1)",1165,962,644,6044,2692,9256,1110,2437,1753,3192
David Copperfield,361,160,83,5907,204,1477,3323,778,6190,498
The Absolutely True Diary of a Part-Time Indian,2722,5260,129,2540,9974,1678,3206,3164,5589,7559
The Master and Margarita,1041,3377,1364,8704,7859,4106,9561,6392,485,4284
"A Wizard of Earthsea (Earthsea Cycle, #1)",1629,1591,8893,5661,9424,1322,7728,1574,360,4515
Because of Winn-Dixie,1193,59,241,999,7350,77,793,1742,245,1222
A Separate Peace,387,4,715,32,621,28,271,456,87,29
The Rainmaker,227,343,1388,963,281,1037,833,123,1245,1733
Don Quixote,71,390,529,3755,1073,1204,1178,1354,1434,2370
"Assassin's Apprentice (Farseer Trilogy, #1)",1246,1018,1964,2382,2299,3298,4074,2669,3278,2385
"The Restaurant at the End of the Universe (Hitchhiker's Guide, #2)",751,1014,1332,1727,54,337,5072,1042,2325,5439
"Torment (Fallen, #2)",224,945,1559,1830,4456,434,1861,2529,202,1122
The Tale of Peter Rabbit,2078,444,2877,545,679,59,2648,549,1253,296
"The Silver Chair (Chronicles of Narnia, #4)",347,542,292,641,37,332,5229,3795,2957,219
"The Hero of Ages (Mistborn, #3)",565,389,1049,1665,7993,9141,2889,562,8373,1200
"Girl, Interrupted",2255,1234,7227,4598,878,3811,2229,2247,4527,3561
"Are You There, Vodka? It's Me, Chelsea",1007,1579,2206,6748,290,534,9253,8515,1839,1942
Jonathan Livingston Seagull,397,2824,9476,6640,2154,8774,8907,743,4702,4400
"City of Heavenly Fire (The Mortal Instruments, #6)",134,319,309,153,51,460,351,1754,183,6977
